•港台 ,#genre#
咪咕直播 𝟛𝟞「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011520/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011520&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟟「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011521/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011521&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟠「移动」,http://gslbserv.itv.cmvideo.cn:80/3000000020000011522/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011522&livemode=1&stbId=YanG-1989

•央视高清 ,#genre#

CCTV1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV2,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV3,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV4,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
CCTV5,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8
CCTV6,http://iptv.huuc.edu.cn/hls/cctv6hd.m3u8
CCTV7,http://iptv.huuc.edu.cn/hls/cctv7hd.m3u8
CCTV8,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8
CCTV9,http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8
CCTV10,http://iptv.huuc.edu.cn/hls/cctv10hd.m3u8
CCTV11,http://iptv.huuc.edu.cn/hls/cctv11hd.m3u8
CCTV12,http://iptv.huuc.edu.cn/hls/cctv12hd.m3u8
CCTV13,http://iptv.huuc.edu.cn/hls/cctv13hd.m3u8
CCTV14,http://iptv.huuc.edu.cn/hls/cctv14hd.m3u8
CCTV15,http://p.ytelc.com/169l/0/cctv.php?id=cctv15
CCTV16,http://p.ytelc.com/169l/0/cctv.php?id=cctv16
CCTV17,http://p.ytelc.com/169l/0/cctv.php?id=cctv17
CCTV4K,http://p.ytelc.com/169l/0/cctv.php?id=cctv4k
北京卫视,http://iptv.huuc.edu.cn/hls/btv1hd.m3u8
湖南卫视,http://iptv.huuc.edu.cn/hls/hunanhd.m3u8
浙江卫视,http://iptv.huuc.edu.cn/hls/zjhd.m3u8
江苏卫视,http://iptv.huuc.edu.cn/hls/jshd.m3u8
东方卫视,http://iptv.huuc.edu.cn/hls/dfhd.m3u8
广东卫视,http://iptv.huuc.edu.cn/hls/gdhd.m3u8
深圳卫视,http://iptv.huuc.edu.cn/hls/szhd.m3u8
天津卫视,http://iptv.huuc.edu.cn/hls/tjhd.m3u8
河北卫视,http://iptv.huuc.edu.cn/hls/hebhd.m3u8
安徽卫视,http://iptv.huuc.edu.cn/hls/ahhd.m3u8
东南卫视,http://iptv.huuc.edu.cn/hls/dnhd.m3u8
黑龙江卫视,http://iptv.huuc.edu.cn/hls/hljhd.m3u8
湖北卫视,http://iptv.huuc.edu.cn/hls/hbhd.m3u8
江西卫视,http://iptv.huuc.edu.cn/hls/jxhd.m3u8
辽宁卫视,http://iptv.huuc.edu.cn/hls/lnhd.m3u8
山东卫视,http://iptv.huuc.edu.cn/hls/sdhd.m3u8
四川卫视,http://iptv.huuc.edu.cn/hls/schd.m3u8
重庆卫视,http://iptv.huuc.edu.cn/hls/cqhd.m3u8
上海纪实,http://iptv.huuc.edu.cn/hls/docuchina.m3u8
金鹰纪实,http://iptv.huuc.edu.cn/hls/gedocu.m3u8
北京新闻,http://iptv.huuc.edu.cn/hls/btv9hd.m3u8
山东教育,http://iptv.huuc.edu.cn/hls/sdetv.m3u8
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8
广东大湾区,http://222.128.55.152:9080/live/dwq.m3u8
广东新闻,http://119.32.12.17:2901/udp/224.1.100.5:11111
广东公共,http://218.13.14.6:60050/tsfile/live/1020_1.m3u8
广东体育,http://cdn2.163189.xyz/live/gdty/stream.m3u8
东莞新闻综合,https://stream.sun0769.com/dgrtv1/mp4tv1_800/index.m3u8
东莞生活资讯,https://stream.sun0769.com/dgrtv1/mp4tv2_800/index.m3u8

