•咪咕•,#genre#
咪咕直播 𝟚𝟡•,http://gslbserv.itv.cmvideo.cn:80/3000000010000021904/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000021904&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟘•,http://gslbserv.itv.cmvideo.cn:80/3000000010000023434/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000023434&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟙•,http://gslbserv.itv.cmvideo.cn:80/3000000010000025380/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000025380&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟚•,http://gslbserv.itv.cmvideo.cn:80/3000000010000027691/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000027691&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟛•,http://gslbserv.itv.cmvideo.cn:80/3000000010000031669/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000031669&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟜•,http://gslbserv.itv.cmvideo.cn:80/3000000020000011518/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011518&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟝•,http://gslbserv.itv.cmvideo.cn:80/3000000020000011519/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011519&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟞•,http://gslbserv.itv.cmvideo.cn:80/3000000020000011520/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011520&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟟•,http://gslbserv.itv.cmvideo.cn:80/3000000020000011521/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011521&livemode=1&stbId=YanG-1989
咪咕直播 𝟛𝟠•,http://gslbserv.itv.cmvideo.cn:80/3000000020000011522/index.m3u8?channel-id=FifastbLive&Contentid=3000000020000011522&livemode=1&stbId=YanG-1989
•港澳•,#genre#
无线新闻台,http://r.jdshipin.com/CkuBd
翡翠台,http://r.jdshipin.com/qClQf
华丽翡翠台,http://r.jdshipin.com/thuYX
TVB Plus,http://r.jdshipin.com/Nr5jq
澳视澳门,http://r.jdshipin.com/n2YZI
明珠台,http://67.220.71.199:2347/livehttpplay?channel_id=30026
TVB星河,http://r.jdshipin.com/Voac4
广东珠江,http://r.jdshipin.com/sE5vO
广东体育,http://r.jdshipin.com/LiYdg
鳳凰衛視·中文,https://cdn6.163189.xyz/163189/fhzw
鳳凰衛視·資訊,https://cdn6.163189.xyz/163189/fhzx
鳳凰衛視·香港,https://cdn6.163189.xyz/163189/fhhk
翡翠台 4K「多音轨字幕」,https://o11.163189.xyz/stream/tvb/fct4k/
翡翠台「多音轨字幕」,https://o11.163189.xyz/stream/tvb/fct/
明珠台「多音轨字幕」,https://o11.163189.xyz/stream/tvb/mzt/
TVB Plus「多音轨字幕」,https://o11.163189.xyz/stream/tvb/tvbp/
無綫新聞台,https://cdn6.163189.xyz/163189/wxxw
Now新聞台,https://cdn.163189.xyz/163189/now
娛樂新聞台,https://cdn6.163189.xyz/163189/ylxw
千禧經典台,https://o11.163189.xyz/stream/live/tvbc/
天映频道,https://o11.163189.xyz/stream/live/typd/
天映經典,https://o11.163189.xyz/stream/live/ccm/
亞洲武俠,https://cdn6.163189.xyz/163189/yzwx
TVB 星河「多音轨字幕」,https://o11.163189.xyz/stream/live/tvbxh/
Astro AOD「多音轨字幕」,https://o11.163189.xyz/stream/live/aod/
Astro AEC「多音轨字幕」,https://o11.163189.xyz/stream/live/aec/
Astro QJ,https://smt.1678520.xyz/smt3.2.3.php?id=Quanjia
Astro 欢喜台,https://o11.163189.xyz/stream/live/hxt/
iQIYI,https://o11.163189.xyz/stream/live/iqiyi/
八度空間,http://cdn6.163189.xyz/163189/8tv
Channel 5,http://cdn6.163189.xyz/163189/ch5
Channel 8,http://cdn6.163189.xyz/163189/ch8
Channel U,http://cdn6.163189.xyz/163189/ch
NOW新闻台,http://cdn.163189.xyz/163189/now
VIUTV,https://cdn.163189.xyz/163189/viu
华视,http://74.91.26.218:82/live/cts.m3u8
中视,http://74.91.26.218:82/live/ctv.m3u8
公视,http://74.91.26.218:82/live/pts.m3u8
台视,http://74.91.26.218:82/live/ttv.m3u8
民视新闻,http://74.91.26.218:82/live/ftvnews.m3u8
台视新闻,http://74.91.26.218:82/live/ttvnews.m3u8
中视新闻,http://74.91.26.218:82/live/ctvnews.m3u8
华视新闻,http://74.91.26.218:82/live/ctsnews.m3u8
民视台湾台,http://74.91.26.218:82/live/ftvtw.m3u8
公视台语台,http://74.91.26.218:82/live/ptsty.m3u8
中视菁采台,http://74.91.26.218:82/live/ctvjc.m3u8
中视经典,http://74.91.26.218:82/live/ctvjd.m3u8
台视财经,http://74.91.26.218:82/live/ttvcj.m3u8
华视教育体育,http://74.91.26.218:82/live/ctsjy.m3u8
靖天歡樂,http://208.87.242.79/livehttpplay?channel_id=30021
星空卫视,http://iot-mqqt.111yao.cn:8080/live/diyp_xingkong.m3u8
星空音乐,http://iot-mqqt.111yao.cn:8080/live/diyp_channelv.m3u8
龙华电影,https://cdn8.163189.xyz/163189/lhdy
龙华戏剧,https://cdn8.163189.xyz/163189/lhxj
龙华日韩,https://cdn8.163189.xyz/163189/lhrh
龙华偶像,https://cdn8.163189.xyz/163189/lhox
龙华经典,https://cdn8.163189.xyz/163189/lhjd
翡翠台,https://hls.iill.top/api/TVB-Jade/index.m3u8
TVB Plus,https://hls.iill.top/api/TVB-Plus/index.m3u8
無綫新聞台,https://hls.iill.top/api/TVB-News/index.m3u8
明珠台,https://hls.iill.top/api/TVB-Pearl/index.m3u8
鳳凰衛視·中文「回看」,https://tv.iill.top/phenix/fhzw
鳳凰衛視·資訊「回看」,https://tv.iill.top/phenix/fhzx
鳳凰衛視·香港「回看」,https://tv.iill.top/phenix/fhhk
雷霆881「电台」,https://881.touch-u.fun/playlist.m3u8
叱咤903「电台」,https://903.touch-u.fun/playlist.m3u8
Now新聞台,https://t.ttvb.eu.org/tvb/now-332/index.m3u8
Now財經台,https://t.ttvb.eu.org/tvb/now-333/index.m3u8
Now Sports 精選,https://t.ttvb.eu.org/tvb/now-630/index.m3u8
ViuTV,https://t.ttvb.eu.org/tvb/ViuTV/index.m3u8
ViuTVsix,https://t.ttvb.eu.org/tvb/ViuTVsix/index.m3u8
HOY 國際財經台,https://hoytv-live-stream.hoy.tv/ch76/index-fhd.m3u8
HOY TV,https://hoytv-live-stream.hoy.tv/ch77/index-fhd.m3u8
HOY 資訊台,https://hoytv-live-stream.hoy.tv/ch78/index-fhd.m3u8
HOY 生活台,https://edge.media.seaovers.live/856b503e276cc4912b6c0b42cb01878d/baselive/v2/6TV1VW9W.m3u8
HOY 劇集台,https://edge.media.seaovers.live/856b503e276cc49100c1dde528ee8cde/baselive/v2/DPL3J6FY.m3u8
HOY 怪談台,https://edge.media.seaovers.live/856b503e276cc49197dd54aa8a0c740e/baselive/v2/TPLUZIFF.m3u8
HOY 體育台,https://edge.media.seaovers.live/856b503e276cc4917dc388396c23668b/baselive/v2/J0LMZVOV.m3u8
RTHK 31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream5/streamPlaylist.m3u8
RTHK 32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
RTHK 33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
RTHK 34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8
RTHK 35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8
澳門Macau,https://live5.tdm.com.mo/ch3/ch3.live/playlist.m3u8
澳門葡文,https://live5.tdm.com.mo/ch2/ch2.live/playlist.m3u8
澳視澳門,https://live5.tdm.com.mo/ch1/ch1.live/playlist.m3u8
澳門資訊,https://live5.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
澳門體育,https://live5.tdm.com.mo/ch4/sport_ch4.live/playlist.m3u8
澳門綜藝,https://live5.tdm.com.mo/ch6/hd_ch6.live/playlist.m3u8
•台湾•,#genre#
年代新聞•,https://hls.iill.top/api/Era-News/index.m3u8
中天亞洲「FainTV」,https://tv.iill.top/FainTV/121
中天綜合•,https://hls.iill.top/api/Cti-K/index.m3u8
中天娛樂•,https://hls.iill.top/api/Cti-E/index.m3u8
中天新聞「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv009
中視「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv040
中視新聞「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv074
東森新聞「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv152
東森財經「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv153
東森電影•,https://hls.iill.top/api/ET-Movie/index.m3u8
東森洋片•,https://hls.iill.top/api/ET-Foreign-Movie-Channel/index.m3u8
東森綜合•,https://hls.iill.top/api/ET-Variety-Channel/index.m3u8
東森戲劇•,https://hls.iill.top/api/ET-Drama-Channel/index.m3u8
東森幼幼•,https://hls.iill.top/api/YoYo-TV/index.m3u8
TVBS「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv073
TVBS 新聞「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv072
TVBS 歡樂「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv068
TVBS 精采「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv067
靖天國際「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv063
靖天歡樂「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv054
靖天映畫「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv055
靖天戲劇「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv058
靖天日本「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv047
靖天綜合「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv046
靖天育樂「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv062
靖天資訊「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv065
靖天電影「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv061
靖天卡通「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv044
靖洋卡通「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv057
靖洋戲劇「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv045
龍華偶像「ofiii」,https://tv.iill.top/ofiii/litv-xinchuang12
龍華卡通「ofiii」,https://tv.iill.top/ofiii/litv-xinchuang01
龍華戲劇「ofiii」,https://tv.iill.top/ofiii/litv-xinchuang18
龍華日韓「ofiii」,https://tv.iill.top/ofiii/litv-xinchuang11
龍華洋片「ofiii」,https://tv.iill.top/ofiii/litv-xinchuang02
龍華經典「ofiii」,https://tv.iill.top/ofiii/litv-xinchuang21
龍華電影「ofiii」,https://tv.iill.top/ofiii/litv-xinchuang03
八大精彩「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv034
八大綜藝「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv039
台視新聞「ofiii」,https://tv.iill.top/ofiii/4gtv-4gtv051
公視戲劇「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv042
台灣戲劇「ofiii」,https://tv.iill.top/ofiii/litv-xinchuang22
寰宇新聞「4gTV」,https://tv.iill.top/4gtv/litv-longturn14
寰宇新聞台灣「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv156
寰宇財經「ofiii」,https://tv.iill.top/ofiii/4gtv-4gtv158
華視「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv041
華視新聞「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv052
民視「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv002
民視台灣「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv001
民視影劇「4gTV」,https://tv.iill.top/4gtv/litv-ftv09
民視新聞「4gTV」,https://tv.iill.top/4gtv/litv-ftv13
民視旅遊「4gTV」,https://tv.iill.top/4gtv/litv-ftv07
民視第一「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv003
民視綜藝「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv004
三立綜合「4gTV」,https://tv.iill.top/4gtv/4gtv-live207
三立新聞iNEWS「4gTV」,https://tv.iill.top/4gtv/4gtv-live089
動物星球•,https://hls.iill.top/api/Animal-Planet/index.m3u8
好萊塢電影•,https://hls.iill.top/api/Hollywood-Movie/index.m3u8
龍祥時代•,https://hls.iill.top/api/LSTIME-Movie/index.m3u8
CINEMAX•,https://hls.iill.top/api/Cinemax/index.m3u8
MTV Live•,https://hls.iill.top/api/MTV-Live/index.m3u8
愛爾達娛樂「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv070
愛爾達生活旅遊「4gTV」,https://tv.iill.top/4gtv/4gtv-live120
鏡電視新聞「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv075
倪珍播新聞「ofiii」,https://tv.iill.top/ofiii/nnews-zh
半島國際新聞「4gTV」,https://tv.iill.top/4gtv/4gtv-live157
DW德國之聲「4gTV」,https://tv.iill.top/4gtv/4gtv-live071
FRANCE24「4gTV」,https://tv.iill.top/4gtv/4gtv-live146
NHK 新聞資訊「4gTV」,https://tv.iill.top/4gtv/4gtv-live168
CNBC Asia 財經「4gTV」,https://tv.iill.top/4gtv/4gtv-live130
SBN 全球財經「4gTV」,https://tv.iill.top/4gtv/4gtv-live060
Bloomberg TV「4gTV」,https://tv.iill.top/4gtv/4gtv-live059
DayStar「ofiii」,https://tv.iill.top/ofiii/daystar
亞洲旅遊「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv076
時尚運動X「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv014
智林體育「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv101
FashionTV 時尚頻道「4gTV」,https://tv.iill.top/4gtv/4gtv-live085
第1商業「ofiii」,https://tv.iill.top/ofiii/4gtv-4gtv104
amc電影台「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv017
MCE 我的歐洲電影「4gTV」,https://tv.iill.top/4gtv/litv-ftv10
影迷數位電影「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv011
影迷數位紀實「4gTV」,https://tv.iill.top/4gtv/litv-ftv15
CinemaWorld「4gTV」,https://tv.iill.top/4gtv/4gtv-live069
經典電影「4gTV」,https://tv.iill.top/4gtv/4gtv-live021
Love Nature「4gTV」,https://tv.iill.top/4gtv/4gtv-live208
視納華仁紀實頻道「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv013
CI 罪案偵查頻道「4gTV」,https://tv.iill.top/4gtv/4gtv-live027
History 歷史頻道「4gTV」,https://tv.iill.top/4gtv/4gtv-live026
MagellanTV (麥哲倫頻道)「4gTV」,https://tv.iill.top/4gtv/4gtv-live123
ROCK Action「4gTV」,https://tv.iill.top/4gtv/4gtv-live138
ROCK Entertainment「4gTV」,https://tv.iill.top/4gtv/4gtv-live080
ROCK Xstream「4gTV」,https://tv.iill.top/4gtv/4gtv-live124
Arirang TV「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv079
韓國娛樂台 KMTV「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv016
Lifetime 娛樂頻道「4gTV」,https://tv.iill.top/4gtv/4gtv-live029
fun探索娛樂「4gTV」,https://tv.iill.top/4gtv/4gtv-live011
HITS頻道「4gTV」,https://tv.iill.top/4gtv/4gtv-live620
豬哥亮歌廳秀「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv006
采昌影劇「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv049
CLASSICA 古典樂「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv059
Mezzo Live「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv083
電影原聲 CMusic「4gTV」,https://tv.iill.top/4gtv/4gtv-live031
TRACE Urban「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv082
TRACE Sport Stars「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv077
GINX Esports TV「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv053
DreamWorks 夢工廠動畫「4gTV」,https://tv.iill.top/4gtv/4gtv-live017
精選動漫「4gTV」,https://tv.iill.top/4gtv/4gtv-live024
經典卡通「4gTV」,https://tv.iill.top/4gtv/4gtv-live022
MOMO親子「4gTV」,https://tv.iill.top/4gtv/4gtv-live107
Nick Jr. 兒童頻道「4gTV」,https://tv.iill.top/4gtv/4gtv-live032
尼克兒童頻道「4gTV」,https://tv.iill.top/4gtv/4gtv-live105
Pet Club TV「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv110
LiveABC互動英語頻道「4gTV」,https://tv.iill.top/4gtv/4gtv-live030
ELTA生活英語「4gTV」,https://tv.iill.top/4gtv/litv-xinchuang20
Smart知識「ofiii」,https://tv.iill.top/ofiii/litv-xinchuang19
達文西頻道「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv018
滾動力rollor「4gTV」,https://tv.iill.top/4gtv/4gtv-live012
INULTRA「4gTV」,https://tv.iill.top/4gtv/4gtv-live096
Global Trekker「4gTV」,https://tv.iill.top/4gtv/4gtv-live112
LUXE TV Channel「4gTV」,https://tv.iill.top/4gtv/4gtv-live121
TV5MONDE STYLE 生活時尚「4gTV」,https://tv.iill.top/4gtv/4gtv-live122
幸福空間居家「4gTV」,https://tv.iill.top/4gtv/4gtv-live206
車迷「4gTV」 TV,https://tv.iill.top/4gtv/4gtv-live201
金光布袋戲「4gTV」,https://tv.iill.top/4gtv/4gtv-live144
原住民族電視「4gTV」,https://tv.iill.top/4gtv/4gtv-live014
客家電視「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv043
人間衛視「4gTV」,https://tv.iill.top/4gtv/4gtv-live008
ETtoday綜合「FainTV」,https://tv.iill.top/FainTV/146
MOMO運動綜合「FainTV」,https://tv.iill.top/FainTV/14009
歡樂看新聞「FainTV」,https://tv.iill.top/FainTV/19670
歡樂兒童「FainTV」,https://tv.iill.top/FainTV/22768
台灣啟示錄「FainTV」,https://tv.iill.top/FainTV/18254
大愛電視「4gTV」,https://tv.iill.top/4gtv/4gtv-live007
大愛電視 2「4gTV」,https://tv.iill.top/4gtv/4gtv-live106
好消息 1「4gTV」,https://tv.iill.top/4gtv/litv-ftv16
好消息 2「4gTV」,https://tv.iill.top/4gtv/litv-ftv17
國會頻道 1「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv084
國會頻道 2「4gTV」,https://tv.iill.top/4gtv/4gtv-4gtv085
東森購物 一「4gTV」,https://tv.iill.top/4gtv/4gtv-live047
東森購物 二「4gTV」,https://tv.iill.top/4gtv/4gtv-live046
東森購物 三「4gTV」,https://tv.iill.top/4gtv/4gtv-live048
東森購物 四「4gTV」,https://tv.iill.top/4gtv/4gtv-live0499
新唐人亞太「4gTV」,https://tv.iill.top/4gtv/4gtv-live050
•體育•,#genre#
博斯運動 一「CatchPlay」,https://hls.iill.top/api/Sports-Network/index.m3u8
博斯運動 二「CatchPlay」,https://hls.iill.top/api/Football-Channel/index.m3u8
博斯無限 一「FainTV」,https://tv.iill.top/FainTV/129
博斯無限 二「FainTV」,https://tv.iill.top/FainTV/418
博斯高球 一「FainTV」,https://tv.iill.top/FainTV/108
博斯高球 二「FainTV」,https://tv.iill.top/FainTV/125
博斯網球「FainTV」,https://tv.iill.top/FainTV/53
博斯魅力「FainTV」,https://tv.iill.top/FainTV/135
緯來日本•,https://hls.iill.top/api/VL-Japan/index.m3u8
緯來體育•,https://hls.iill.top/api/VL-Sports/index.m3u8
緯來電影•,https://hls.iill.top/api/VL-Movies/index.m3u8
緯來綜合•,https://hls.iill.top/api/VL-ONTV/index.m3u8
緯來戲劇•,https://hls.iill.top/api/VL-Drama/index.m3u8
緯來育樂•,https://hls.iill.top/api/VL-E/index.m3u8
Eurosport 1,https://hls.iill.top/api/Eurosport-1/index.m3u8
Eurosport 2,https://hls.iill.top/api/Eurosport-2/index.m3u8
TNT Sport 1,https://hls.iill.top/api/TNT-Sports-1/index.m3u8
TNT Sport 2,https://hls.iill.top/api/TNT-Sports-2/index.m3u8
TNT Sport 3,https://hls.iill.top/api/TNT-Sports-3/index.m3u8
TNT Sport 4,https://hls.iill.top/api/TNT-Sports-4/index.m3u8
beIN Sports 1,https://hls.iill.top/api/beIN-Sports-1/index.m3u8
beIN Sports 2,https://hls.iill.top/api/beIN-Sports-2/index.m3u8
beIN Sports 3,https://hls.iill.top/api/beIN-Sports-3/index.m3u8
beIN Sports 4,https://hls.iill.top/api/beIN-Sports-4/index.m3u8
beIN Sports 5,https://hls.iill.top/api/beIN-Sports-5/index.m3u8
Hub Premier 1,https://hls.iill.top/api/Hub-Premier-1/index.m3u8
Hub Premier 2,https://hls.iill.top/api/Hub-Premier-2/index.m3u8
Hub Premier 3,https://hls.iill.top/api/Hub-Premier-3/index.m3u8
Hub Premier 4,https://hls.iill.top/api/Hub-Premier-4/index.m3u8
Hub Premier 5,https://hls.iill.top/api/Hub-Premier-5/index.m3u8
Hub Premier 6,https://hls.iill.top/api/Hub-Premier-6/index.m3u8
Hub Premier 7,https://hls.iill.top/api/Hub-Premier-7/index.m3u8
Hub Premier 8,https://hls.iill.top/api/Hub-Premier-8/index.m3u8
